Date,equity
2022-10-26,2.1112288314909764e+56
2022-10-27,1.332796511737742e+56
2022-10-27,2.1020264431188056e+56
2022-10-28,1.3248913953332315e+56
2022-10-28,2.031893626095261e+56
2022-10-31,1.268947402432488e+56
2022-10-31,2.003171720066669e+56
2022-11-01,1.9794087403279026e+56
2022-11-01,3.2673491428689764e+56
2022-11-03,3.201166607860556e+56
2022-11-03,1.9823574770348953e+56
2022-11-04,1.9282973457345492e+56
2022-11-04,3.333386918564468e+56
2022-11-07,3.333386918564468e+56
2022-11-07,3.333386918564468e+56
2022-11-08,3.333386918564468e+56
2022-11-08,3.350415457963229e+56
2022-11-09,6.171352776848989e+56
2022-11-09,3.322698778618606e+56
2022-11-10,6.257582393708527e+56
2022-11-10,3.2746566910591275e+56
2022-11-11,3.330011592775018e+56
2022-11-11,6.819838725772244e+56
2022-11-14,6.883565104818906e+56
2022-11-14,3.3748096506080788e+56
2022-11-16,6.828672094776385e+56
2022-11-16,3.3826274498855905e+56
2022-11-17,3.391804383316336e+56
2022-11-17,6.8959557703768555e+56
2022-11-18,3.3629894660930133e+56
2022-11-18,6.75376034526603e+56
2022-11-21,3.3680007612396213e+56
2022-11-21,6.647868235442038e+56
2022-11-22,6.647868235442038e+56
2022-11-22,6.693897486002826e+56
2022-11-23,6.709794650425334e+56
2022-11-23,1.5018184722903302e+57
2022-11-24,1.5093334052598467e+57
2022-11-24,6.826854861737581e+56
2022-11-25,1.5178745148573034e+57
2022-11-25,1.5049816657423652e+57
2022-11-28,3.3019048936192336e+57
2022-11-28,1.520623406267271e+57
2022-11-29,1.5525325115900153e+57
2022-11-29,3.4001350050217206e+57
2022-11-30,1.5598153441722214e+57
2022-11-30,1.5598153441722214e+57
2022-12-01,1.530376917082801e+57
2022-12-01,3.3082025794732924e+57
2022-12-02,1.5397663157951778e+57
2022-12-02,3.326394637417676e+57
2022-12-05,3.323753750103705e+57
2022-12-05,1.5311286397144725e+57
2022-12-06,1.5317219769128235e+57
2022-12-06,3.380991443555229e+57
2022-12-07,3.288127296432055e+57
2022-12-07,1.5231179933507006e+57
2022-12-08,1.5294307830535625e+57
2022-12-08,1.5294307830535625e+57
2022-12-09,1.5294307830535625e+57
2022-12-09,1.5204801645864104e+57
2022-12-12,3.398760639234852e+57
2022-12-12,1.4959995029060158e+57
2022-12-13,3.40090292330208e+57
2022-12-13,1.4779449930292867e+57
